candidate_id,rank,score,reasoning
CAND_0039754,1,451.0113,"Senior Applied Scientist with 16.2 years of experience; relevant skills include Fine-tuning LLMs, LlamaIndex, Qdrant, Reinforcement Learning, NLP. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0081846,2,405.956,"Lead AI Engineer with 6.7 years of experience; relevant skills include Data Science, Information Retrieval, LlamaIndex, pgvector, Forecasting. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0055905,3,396.9827,"Senior Machine Learning Engineer with 8.1 years of experience; relevant skills include Elasticsearch, ASR, Hugging Face Transformers, Haystack, Speech Recognition. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0006557,4,390.8727,"NLP Engineer with 7.9 years of experience; relevant skills include Kubeflow, Data Science, Elasticsearch, OpenSearch, LlamaIndex. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0077337,5,386.1313,"Staff Machine Learning Engineer with 7.0 years of experience; relevant skills include GANs, Semantic Search, QLoRA, pgvector, Pinecone. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0033861,6,382.8047,"Senior NLP Engineer with 8.0 years of experience; relevant skills include Reinforcement Learning, Weaviate, LoRA, LLMs, Machine Learning. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0086022,7,375.8413,"Senior Applied Scientist with 5.3 years of experience; relevant skills include Vector Search, MLflow, Recommendation Systems, Databricks, Deep Learning. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0041611,8,370.8973,"Staff Machine Learning Engineer with 6.4 years of experience; relevant skills include LlamaIndex, Prompt Engineering, PyTorch, Qdrant, NLP. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0011162,9,370.838,"Recommendation Systems Engineer with 5.8 years of experience; relevant skills include Weights & Biases, FAISS, Vector Search, LangChain, CNN. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0095528,10,366.6953,"Senior Data Scientist with 5.3 years of experience; relevant skills include Feature Engineering, OpenSearch, PyTorch, Semantic Search, Vector Search. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0010257,11,361.388,"Senior Data Scientist with 6.5 years of experience; relevant skills include Milvus, TensorFlow, MLflow, Python, Forecasting. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0044855,12,361.1433,"Senior Data Scientist with 6.6 years of experience; relevant skills include Object Detection, Learning to Rank, Hugging Face Transformers, OpenSearch, BentoML. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0046525,13,358.4607,"Senior Machine Learning Engineer with 6.1 years of experience; relevant skills include Elasticsearch, Redux, LangChain, Machine Learning, LlamaIndex. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0002025,14,357.204,"Senior AI Engineer with 5.9 years of experience; relevant skills include Diffusion Models, FAISS, TensorFlow, scikit-learn, OpenSearch. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0068811,15,356.7187,"Applied ML Engineer with 8.0 years of experience; relevant skills include Data Science, Vector Search, Speech Recognition, TTS, Kubeflow. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0018499,16,356.1033,"Senior Machine Learning Engineer with 7.2 years of experience; relevant skills include Deep Learning, Weaviate, Recommendation Systems, scikit-learn, Diffusion Models. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0037944,17,355.244,"Senior Data Scientist with 4.9 years of experience; relevant skills include Next.js, Feature Engineering, Vector Search, Machine Learning, ASR. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0054123,18,353.066,"Applied ML Engineer with 4.7 years of experience; relevant skills include LangChain, pgvector, Python, Weaviate, Qdrant. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0071974,19,350.6147,"Senior AI Engineer with 7.8 years of experience; relevant skills include LoRA, Learning to Rank, Weaviate, PEFT, BM25. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0013536,20,347.0893,"Applied ML Engineer with 14.1 years of experience; relevant skills include PyTorch, Prompt Engineering, LLMs, NLP, Embeddings. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0018549,21,344.3067,"Recommendation Systems Engineer with 6.8 years of experience; relevant skills include Computer Vision, Weaviate, Kubernetes, Elasticsearch, BigQuery. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0094759,22,344.034,"Lead AI Engineer with 8.6 years of experience; relevant skills include Prompt Engineering, scikit-learn, Hugging Face Transformers, Learning to Rank, Semantic Search. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0092278,23,343.0053,"Senior NLP Engineer with 6.8 years of experience; relevant skills include TensorFlow, Machine Learning, Hugging Face Transformers, gRPC, QLoRA. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0042506,24,342.0573,"Search Engineer with 4.2 years of experience; relevant skills include PEFT, TTS, scikit-learn, OpenCV, Semantic Search. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0046064,25,341.6773,"Senior NLP Engineer with 8.9 years of experience; relevant skills include Python, Image Classification, OpenCV, Pinecone, Haystack. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0083307,26,341.64,"Search Engineer with 7.8 years of experience; relevant skills include OpenCV, scikit-learn, Embeddings, Image Classification, Weights & Biases. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0064904,27,340.4413,"AI Engineer with 4.9 years of experience; relevant skills include Embeddings, Hugging Face Transformers, Elasticsearch, Diffusion Models, Forecasting. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0051292,28,337.538,"Applied ML Engineer with 5.2 years of experience; relevant skills include Vue.js, pgvector, FAISS, BentoML, LLMs. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0088025,29,335.6407,"Staff Machine Learning Engineer with 8.6 years of experience; relevant skills include Pinecone, QLoRA, LLMs, Hugging Face Transformers, RAG. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0047721,30,334.0947,"Senior Data Scientist with 7.0 years of experience; relevant skills include Learning to Rank, MLOps, Milvus, BM25, RAG. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0076904,31,330.3253,"Senior Data Scientist with 4.2 years of experience; relevant skills include CNN, PEFT, Recommendation Systems, Deep Learning, BentoML. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0081686,32,329.556,"Search Engineer with 6.0 years of experience; relevant skills include Machine Learning, Kubeflow, Embeddings, FAISS, Feature Engineering. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0011687,33,328.7287,"Senior NLP Engineer with 7.8 years of experience; relevant skills include TensorFlow, OpenSearch, FAISS, PEFT, Feature Engineering. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
CAND_0096172,34,327.8653,"NLP Engineer with 5.2 years of experience; relevant skills include OpenSearch, Haystack, Forecasting, Elasticsearch, Semantic Search. Ranked based on AI/retrieval skill match, production relevance, experience fit, and Redrob activity signals."
